0	2022	Diffusion-LM Improves Controllable Text Generation	Controlling the behavior of language models (LMs) without re-training is a major open problem in natural language generation. While recent works have demonstrated successes on controlling simple sentence attributes (e.g.
1	2026	Diffusion-State Policy Optimization for Masked Diffusion Language Models	Masked diffusion language models generate text through iterative masked-token filling, but terminal-only rewards on final completions provide coarse credit assignment for the intermediate filling decisions that shape the
2	2023	Spiking-Diffusion: Vector Quantized Discrete Diffusion Model with Spiking Neural Networks	Spiking neural networks (SNNs) have tremendous potential for energy-efficient neuromorphic chips due to their binary and event-driven architecture. SNNs have been primarily used in classification tasks, but limited explo
3	2023	DiffSTG: Probabilistic Spatio-Temporal Graph Forecasting with Denoising Diffusion Models	Spatio-temporal graph neural networks (STGNN) have emerged as the dominant model for spatio-temporal graph (STG) forecasting. Despite their success, they fail to model intrinsic uncertainties within STG data, which cripp
4	2022	EdiT5: Semi-Autoregressive Text Editing with T5 Warm-Start	We present EDIT5 1 -a novel semiautoregressive text-editing model designed to combine the strengths of non-autoregressive text-editing and autoregressive decoding. EDIT5 is faster during inference than conventional seque
5	2026	Support Before Frequency in Discrete Diffusion	Discrete diffusion models are increasingly competitive for language modeling, yet it remains unclear how their denoising objectives organize learning. Although these objectives target the full data distribution, we show 
6	2026	Discrete Diffusion Inference-Time Control with Nested Sequential Monte Carlo	We study inference-time control for text generation in discrete diffusion language models, where the goal is to steer sampling toward sequence-level rewards without retraining. Prior work in this domain has focused on pa
7	2025	On the Reasoning Abilities of Masked Diffusion Language Models	Masked diffusion models (MDMs) for text offer a compelling alternative to traditional autoregressive language models. Parallel generation makes them efficient, but their computational capabilities and the limitations inh
8	2022	Semi-Autoregressive Energy Flows: Exploring Likelihood-Free Training of Normalizing Flows	Training normalizing flow generative models can be challenging due to the need to calculate computationally expensive determinants of Jacobians. This paper studies the likelihood-free training of flows and proposes the e
9	2025	Deep Generative Methods and Tire Architecture Design	As deep generative models proliferate across the AI landscape, industrial practitioners still face critical yet unanswered questions about which deep generative models best suit complex manufacturing design tasks. This w
10	2023	LayoutDM: Discrete Diffusion Model for Controllable Layout Generation	Controllable layout generation aims at synthesizing plausible arrangement of element bounding boxes with optional constraints, such as type or position of a specific element. In this work, we try to solve a broad range o
11	2026	Absorbing Discrete Diffusion for Speech Enhancement	Inspired by recent developments in neural speech coding and diffusion-based language modeling, we tackle speech enhancement by modeling the conditional distribution of clean speech codes given noisy speech codes using ab
12	2025	Your Absorbing Discrete Diffusion Secretly Models the Bayesian Posterior	Discrete diffusion language models learn to reconstruct text from randomly masked inputs, yet under mild assumptions their denoiser already implements the exact Bayesian posterior over the original tokens. We prove that 
13	2024	Generative Flows on Discrete State-Spaces: Enabling Multimodal Flows with Applications to Protein Co-Design	Combining discrete and continuous data is an important capability for generative models. We present Discrete Flow Models (DFMs), a new flow-based model of discrete data that provides the missing link in enabling flow-bas
14	2024	PepTune: De Novo Generation of Therapeutic Peptides with Multi-Objective-Guided Discrete Diffusion	We present PepTune, a multi-objective discrete diffusion model for simultaneous generation and optimization of therapeutic peptide SMILES. Built on the Masked Discrete Language Model (MDLM) framework, PepTune ensures val
15	2026	Leveraging Pretrained Language Models as Energy Functions for Glauber Dynamics Text Diffusion	We present a discrete diffusion-based language model using Glauber dynamics from statistical physics. Our main insight is that instead of trying to train a discrete state space diffusion model using Glauber dynamics with
16	2026	Self-Augmenting Retrieval for Diffusion Language Models	Discrete diffusion language models generate text by iteratively denoising an entire response in parallel. At each step, they predict tentative tokens for every masked position, committing the confident predictions to the
17	2025	Dream-Coder 7B: An Open Diffusion Language Model for Code	We present Dream-Coder 7B, an open-source discrete diffusion language model for code generation that exhibits emergent any-order generation capabilities. Unlike traditional autoregressive (AR) models that decode strictly
18	2024	RNADiffFold: generative RNA secondary structure prediction using discrete diffusion models	Ribonucleic acid (RNA) molecules are essential macromolecules that perform diverse biological functions in living beings. Precise prediction of RNA secondary structures is instrumental in deciphering their complex three-
19	2025	REST: Diffusion-based Real-time End-to-end Streaming Talking Head Generation via ID-Context Caching and Asynchronous Streaming Distillation	Diffusion models have significantly advanced the field of talking head generation (THG). However, slow inference speeds and prevalent non-autoregressive paradigms severely constrain the application of diffusion-based THG
20	2023	A Semi-Autoregressive Graph Generative Model for Dependency Graph Parsing	Recent years have witnessed the impressive progress in Neural Dependency Parsing. According to the different factorization approaches to the graph joint probabilities, existing parsers can be roughly divided into autoreg
21	2025	Masked Diffusion Language Models with Frequency-Informed Training	We present a masked diffusion language modeling framework for data-efficient training for the BabyLM 2025 Challenge. Our approach applies diffusion training objectives to language modeling under strict data constraints, 
22	2025	PartDiffuser: Part-wise 3D Mesh Generation via Discrete Diffusion	Existing autoregressive (AR) methods for generating artist-designed meshes struggle to balance global structural consistency with high-fidelity local details, and are susceptible to error accumulation. To address this, w
23	2026	Knowledge Editing in Masked Diffusion Language Models	Knowledge editing aims to update or correct factual knowledge in a language model. A widely used approach, locate-then-edit, does this in two steps: it first localizes a fact within the model, then edits the weights ther
24	2026	TAG-DLM: Diffusion Language Models for Text-Attributed Graph Learning	Text-attributed graphs (TAGs), where each node carries a natural language description, require models to jointly reason over text and graph topology. Existing approaches often handle the two modalities separately: graph 
25	2026	T$^\star$: Progressive Block Scaling for Masked Diffusion Language Models Through Trajectory Aware Reinforcement Learning	We present T$^\star$, a simple TraceRL-based training curriculum for progressive block-size scaling in masked diffusion language models (MDMs). Starting from an AR-initialized small-block MDM, T$^\star$ transitions smoot
26	2025	LLaDA-MoE: A Sparse MoE Diffusion Language Model	We introduce LLaDA-MoE, a large language diffusion model with the Mixture-of-Experts (MoE) architecture, trained from scratch on approximately 20T tokens. LLaDA-MoE achieves competitive performance with significantly red
27	2025	TESS 2: A Large-Scale Generalist Diffusion Language Model	We introduce TESS 2, a general instruction-following diffusion language model that outperforms contemporary instruction-tuned diffusion models, as well as matches and sometimes exceeds strong autoregressive (AR) models. 
28	2026	Tuning the Implicit Regularizer of Masked Diffusion Language Models: Enhancing Generalization via Insights from $k$-Parity	Masked Diffusion Language Models have recently emerged as a powerful generative paradigm, yet their generalization properties remain understudied compared to their auto-regressive counterparts. In this work, we investiga
29	2025	Flexible-length Text Infilling for Discrete Diffusion Models	Discrete diffusion models are a new class of text generators that offer advantages such as bidirectional context use, parallelizable generation, and flexible prompting compared to autoregressive models. However, a critic
30	2024	DICE: Discrete Inversion Enabling Controllable Editing for Multinomial Diffusion and Masked Generative Models	Discrete diffusion models have achieved success in tasks like image generation and masked language modeling but face limitations in controlled content editing. We introduce DICE (Discrete Inversion for Controllable Editi
31	2026	MDLMPE: Distribution Aware Positional Encoding for Masked Diffusion Language Models	Masked diffusion language models (MDLMs) enable parallel generation and bidirectional context modeling, but their positional context differs fundamentally from that of autoregressive (AR) models. Whereas AR decoding expo
32	2024	DiffBP: generative diffusion of 3D molecules for target protein binding	Generating molecules that bind to specific proteins is an important but challenging task in drug discovery. Most previous works typically generate atoms autoregressively, with element types and 3D coordinates of atoms ge
33	2026	Discrete Diffusion with Sample-Efficient Estimators for Conditionals	We study a discrete denoising diffusion framework that integrates a sample-efficient estimator of single-site conditionals with round-robin noising and denoising dynamics for generative modeling over discrete state space
34	2026	Attention-Discounted Adaptive Sampler for Masked Diffusion Language Models	Masked diffusion language models can reduce inference steps by revealing multiple tokens per denoising iteration, but this parallelism is fragile: positions that are individually confident may be unsafe to commit togethe
35	2022	DiGress: Discrete Denoising diffusion for graph generation	This work introduces DiGress, a discrete denoising diffusion model for generating graphs with categorical node and edge attributes. Our model utilizes a discrete diffusion process that progressively edits graphs with noi
36	2026	Dependency-Guided Parallel Decoding in Discrete Diffusion Language Models	Discrete diffusion language models (dLLMs) accelerate text generation by unmasking multiple tokens in parallel. However, parallel decoding introduces a distributional mismatch: it approximates the joint conditional using
37	2023	Muse: Text-To-Image Generation via Masked Generative Transformers	We present Muse, a text-to-image Transformer model that achieves state-of-the-art image generation performance while being significantly more efficient than diffusion or autoregressive models. Muse is trained on a masked
